"","sn","rugs_urlnames_full","url","DateAdded"
"253",253,"rladies-madrid","https://www.meetup.com/rladies-madrid/","October, 2019"
"254",254,"rladies-barcelona","https://www.meetup.com/rladies-barcelona/","October, 2019"
"255",255,"r-enthusiasts","https://www.meetup.com/r-enthusiasts/","October, 2019"
"256",256,"rladies-lisboa","https://www.meetup.com/rladies-lisboa/","October, 2019"
"257",257,"rladies-guayaquil","https://www.meetup.com/rladies-guayaquil/","October, 2019"
"258",258,"rladies-frankfurt","https://www.meetup.com/rladies-frankfurt/","October, 2019"
"259",259,"rladies-amsterdam","https://www.meetup.com/rladies-amsterdam/","October, 2019"
"260",260,"rladies-newcastle","https://www.meetup.com/rladies-newcastle/","October, 2019"
"261",261,"rladies-baltimore","https://www.meetup.com/rladies-baltimore/","October, 2019"
"262",262,"rladies-loughborough","https://www.meetup.com/rladies-loughborough/","October, 2019"
"263",263,"rladies-manchester","https://www.meetup.com/rladies-manchester/","October, 2019"
"264",264,"rladies-lancaster","https://www.meetup.com/rladies-lancaster/","October, 2019"
"265",265,"rladies-san-diego","https://www.meetup.com/rladies-san-diego/","October, 2019"
"266",266,"rladies-johannesburg","https://www.meetup.com/rladies-johannesburg/","October, 2019"
"267",267,"rladies-tampa","https://www.meetup.com/rladies-tampa/","October, 2019"
"268",268,"rladies-rabat","https://www.meetup.com/rladies-rabat/","October, 2019"
"269",269,"rladies-lausanne","https://www.meetup.com/rladies-lausanne/","October, 2019"
"270",270,"rladies-curitiba","https://www.meetup.com/rladies-curitiba/","October, 2019"
"271",271,"rladies-bilbao","https://www.meetup.com/rladies-bilbao/","October, 2019"
"272",272,"Bern-R","https://www.meetup.com/Bern-R/","October, 2019"
"273",273,"rladies-ames","https://www.meetup.com/rladies-ames/","October, 2019"
"274",274,"meetup-group-ZtqriXwa","https://www.meetup.com/meetup-group-ZtqriXwa/","October, 2019"
"275",275,"rladies-canberra","https://www.meetup.com/rladies-canberra/","October, 2019"
"276",276,"rladies-taipei","https://www.meetup.com/rladies-taipei/","October, 2019"
"277",277,"r-indonesia","https://www.meetup.com/r-indonesia/","October, 2019"
"278",278,"rladies-nashville","https://www.meetup.com/rladies-nashville/","October, 2019"
"279",279,"rladies-cape-town","https://www.meetup.com/rladies-cape-town/","October, 2019"
