"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"56",56,"Spotkania Entuzjastów R-Warsaw RUG Meetup & R-Ladies Warsaw","Warsaw","Poland","Europe",2093,"https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/","2014-10-06",44,0,"public","2019-06-27"
"57",57,"Bmore UseR Group","Baltimore","USA","US/Canada",135,"https://www.meetup.com/Bmore-UseR-Group/","2016-08-26",1,0,"public","2017-09-20"
"58",58,"Cape Fear R Users Group","Wilmington","USA","US/Canada",29,"https://www.meetup.com/Cape-Fear-R-Users-Group/","2017-09-20",7,0,"public","2018-11-29"
"59",59,"Pittsburgh useR Group","Pittsburgh","USA","US/Canada",563,"https://www.meetup.com/Pittsburgh-useR-Group/","2013-03-26",35,0,"public","2019-08-21"
"60",60,"Columbus useR Group","Columbus","USA","US/Canada",199,"https://www.meetup.com/Columbus-useR-Group/","2014-03-17",3,0,"public","2015-01-28"
"61",61,"Western Australia R Group (WARG)","Perth","Australia","Australia",177,"https://www.meetup.com/Western-Australia-R-Group-WARG/","2014-06-27",9,0,"public","2016-07-21"
"62",62,"Greater Boston useR Group (R Programming Language)","Boston","USA","US/Canada",3987,"https://www.meetup.com/Boston-useR/","2011-02-10",57,2,"public","2019-09-10"
"63",63,"Boston R/Bioconductor for Genomics","Boston","USA","US/Canada",718,"https://www.meetup.com/Boston-R-Bioconductor-for-genomics/","2016-08-03",18,6,"public","2019-09-25"
"64",64,"Santa Barbara R Users Group","Santa Barbara","USA","US/Canada",370,"https://www.meetup.com/Santa-Barbara-R-Users-Group/","2013-02-27",21,0,"public","2019-09-19"
"65",65,"Abidjan R users Meetup","Abidjan","Ivory Coast","Africa",352,"https://www.meetup.com/Abidjan-R-users-Meetup/","2018-03-27",4,3,"public","2019-05-04"
"66",66,"Riyadh UseR Group","Riyadh","Saudi Arabia","Asia",361,"https://www.meetup.com/Riyadh-UseR-Group/","2016-12-06",1,0,"public","2016-12-15"
"67",67,"Bogotá R Users Group Meetup (Shiny data apps)","Bogotá","Colombia","Latin America",135,"https://www.meetup.com/Bogota-R-Users-Group-Meetup-Shiny-data-apps/","2014-12-27",1,0,"public","2015-01-22"
"68",68,"Cambridge R Users Group Meetup","Cambridge","United Kingdom","Europe",347,"https://www.meetup.com/Cambridge-R-Users-Group-Meetup/","2014-10-28",6,0,"public","2016-11-23"
"69",69,"DuPage R Meetup","Lisle","USA","US/Canada",173,"https://www.meetup.com/DuPage-R-Meetup/","2018-09-18",5,1,"public","2019-04-17"
"70",70,"Intro to R, Data Analytics - Training and Workshop","New York","USA","US/Canada",289,"https://www.meetup.com/Intro-to-R-Basics-Free-Training-and-Workshop/","2017-04-07",2,0,"public","2017-07-12"
"71",71,"New York R User Group","New York","USA","US/Canada",1024,"https://www.meetup.com/New-York-R-Users-Group/","2013-08-24",43,3,"public","2016-11-02"
